Unnamed: 0	year	title	abstract	Targeted organisms	Technical target	Methods	Topics	_title_key	microbial_related_auto	microbial_related_manual
5243	2017	In silico promoter analysis reveals rice Wx promoter could be a TATA-less promoter with a putative pyrimidine rich region						in silico promoter analysis reveals rice wx promoter could be a tata-less promoter with a putative pyrimidine rich region	no	
2230	2019	Modulation of peptidoglycan synthesis by recycled cell wall tetrapeptides	The bacterial cell wall is made of peptidoglycan (PG), a polymer that is essential for maintenance of cell shape and survival. During growth, bacteria remodel their PG, releasing fragments that are predominantly re-internalized by the cell, where they are recycled for synthesis of new PG. Although the PG recycling pathway is widely conserved, its components are not essential and its roles in cell wall homeostasis are not well-understood. Here, we identified LdcV, a Vibrio cholerae L,D-carboxypeptidase that cleaves the terminal D-Alanine from recycled murotetrapeptides. In the absence of ldcV, recycled tetrapeptides accumulated in the cytosol, leading to two toxic consequences for the cell wall. First, incorporation of tetrapeptide-containing PG precursors into the cell wall led to reduction in D,D-cross-linkage between stem peptides, diminishing PG integrity. Second, tetrapeptide accumulation led to a decrease in canonical UDP-pentapeptide precursors, reducing PG synthesis. Thus, LdcV and the recycling pathway promote optimal cell wall assembly and composition. Furthermore, Ldc substrate preference for murotetrapeptides containing canonical (D-Alanine) vs. non-canonical (D-Methionine) D-amino acids is conserved, suggesting that accumulation of tetrapeptide recycling intermediates may modulate PG homeostasis in environments enriched in non-canonical-muropeptides via substrate competition.	Bacteria	MAGs		Ecosystem Dynamics & Biodiversity, Health & Disease	modulation of peptidoglycan synthesis by recycled cell wall tetrapeptides	yes	
6301	2023	Transcriptomic and targeted immune transcript analyses confirm localized skin immune responses in Atlantic salmon towards the salmon louse.						transcriptomic and targeted immune transcript analyses confirm localized skin immune responses in atlantic salmon towards the salmon louse.	no	
178	2024	Unraveling tuberculosis patient cluster transmission chains: integrating WGS-based network with clinical and epidemiological insights	Background Tuberculosis remains a global health threat, and the World Health Organization reports a limited reduction in disease incidence rates, including both new and relapse cases. Therefore, studies targeting tuberculosis transmission chains and recurrent episodes are crucial for developing the most effective control measures. Herein, multiple tuberculosis clusters were retrospectively investigated by integrating patients’ epidemiological and clinical information with median-joining networks recreated based on whole genome sequencing (WGS) data of Mycobacterium tuberculosis isolates. Methods Epidemiologically linked tuberculosis patient clusters were identified during the source case investigation for pediatric tuberculosis patients. Only M. tuberculosis isolate DNA samples with previously determined spoligotypes identical within clusters were subjected to WGS and further median-joining network recreation. Relevant clinical and epidemiological data were obtained from patient medical records. Results We investigated 18 clusters comprising 100 active tuberculosis patients 29 of whom were children at the time of diagnosis; nine patients experienced recurrent episodes. M. tuberculosis isolates of studied clusters belonged to Lineages 2 (sub-lineage 2.2.1) and 4 (sub-lineages 4.3.3, 4.1.2.1, 4.8, and 4.2.1), while sub-lineage 4.3.3 (LAM) was the most abundant. Isolates of six clusters were drug-resistant. Within clusters, the maximum genetic distance between closely related isolates was only 5–11 single nucleotide variants (SNVs). Recreated median-joining networks, integrated with patients’ diagnoses, specimen collection dates, sputum smear microscopy, and epidemiological investigation results indicated transmission directions within clusters and long periods of latent infection. It also facilitated the identification of potential infection sources for pediatric patients and recurrent active tuberculosis episodes refuting the reactivation possibility despite the small genetic distance of ≤5 SNVs between isolates. However, unidentified active tuberculosis cases within the cluster, the variable mycobacterial mutation rate in dormant and active states, and low M. tuberculosis genetic variability inferred precise transmission chain delineation. In some cases, heterozygous SNVs with an allelic frequency of 10–73% proved valuable in identifying direct transmission events. Conclusion The complex approach of integrating tuberculosis cluster WGS-data-based median-joining networks with relevant epidemiological and clinical data proved valuable in delineating epidemiologically linked patient transmission chains and deciphering causes of recurrent tuberculosis episodes within clusters.	Bacteria	Isolate, AMR, Variant	(Meta)genomics	Health & Disease	unraveling tuberculosis patient cluster transmission chains: integrating wgs-based network with clinical and epidemiological insights	yes	
4138	2012	Golden Trail: Retrieving the Data History that Matters from a Comprehensive Provenance Repository						golden trail: retrieving the data history that matters from a comprehensive provenance repository	no	
8512	2019	Transcriptome data from three endemic Myrtaceae species from New Caledonia displaying contrasting responses to myrtle rust (Austropuccinia psidii)						transcriptome data from three endemic myrtaceae species from new caledonia displaying contrasting responses to myrtle rust (austropuccinia psidii)	no	
447	2018	Aptamer Selection against a Trichomonas vaginalis Adhesion Protein for Diagnostic Applications.	Trichomoniasis, caused by Trichomonas vaginalis, is the leading nonviral sexually transmitted infection worldwide. We report the selection of a DNA aptamer against a T. vaginalis adhesion protein, AP65, using a microtiter plate-based in vitro combinatorial chemistry process termed systematic evolution of ligands by exponential enrichment. The enriched library pool was sequenced by next-generation sequencing, and several aptamer candidates with high affinity and specificity were identified. The aptamer with the highest affinity and specificity had a KD in the low nanomolar range, as confirmed by three different techniques: surface plasmon resonance, enzyme-linked aptamer assay, and biolayer interferometry. The selected aptamer was demonstrated to have a high specificity to the AP65 protein and to T. vaginalis cells with no cross-reactivity to other enteric and urogenital microorganisms. Current work is focused on the development of inexpensive and easy-to-use aptamer-based diagnostic assays for the reliable and rapid detection of T. vaginalis in vaginal swabs.				Health & Disease	aptamer selection against a trichomonas vaginalis adhesion protein for diagnostic applications.	yes	
2985	2015	Characterization of genome-wide H3K27ac profiles reveals a distinct PM2.5-associated histone modification signature						characterization of genome-wide h3k27ac profiles reveals a distinct pm2.5-associated histone modification signature	no	
302	2023	IRIDA-ARIES Genomics, a key player in the One Health surveillance of diseases caused by infectious agents in Italy	Pathogen genomics is transforming surveillance of infectious diseases, deepening our understanding of evolution and diffusion of etiological agents, host-pathogen interactions and antimicrobial resistance. This discipline is playing an important role in the development of One Health Surveillance with public health experts of various disciplines integrating methods applied to pathogen research, monitoring, management and prevention of outbreaks. Especially with the notion that foodborne diseases may not be transmitted by food only, the ARIES Genomics project aimed to deliver an Information System for the collection of genomic and epidemiological data to enable genomics-based surveillance of infectious epidemics, foodborne outbreaks and diseases at the animal-human interface. Keeping in mind that the users of the system comprised persons with expertise in a wide variety of domains, the system was expected to be used with a low learning curve directly by the persons target of the analyses' results, keeping the information exchange chains as short as possible. As a result, the IRIDA-ARIES platform (https://irida.iss.it/) provides an intuitive web-based interface for multisectoral data collection and bioinformatic analyses. In practice, the user creates a sample and uploads the Next-generation sequencing reads, then an analysis pipeline is launched automatically performing a series of typing and clustering operations fueling the information flow. Instances of IRIDA-ARIES host the Italian national surveillance system for infections by Listeria monocytogenes (Lm) and the surveillance system for infections by Shigatoxin-producing Escherichia coli (STEC). As of today, the platform does not provide tools to manage epidemiological investigations but serves as an instrument of aggregation for risk monitoring, capable of triggering alarms on possible critical situations that might go unnoticed otherwise.	Pathogen	Interactome, AMR	(Meta)genomics	Health & Disease	irida-aries genomics, a key player in the one health surveillance of diseases caused by infectious agents in italy	yes	
1216	2023	Characterising the RNA-binding protein atlas of the mammalian brain uncovers RBM5 misregulation in mouse models of Huntington's disease						characterising the rna-binding protein atlas of the mammalian brain uncovers rbm5 misregulation in mouse models of huntington's disease	no	
5801	2018	Recoding and reassignment in protists						recoding and reassignment in protists	no	
