row_index	year	title	Targeted organisms TP	Targeted organisms FP	Targeted organisms FN	Targeted organisms TN	Targeted organisms TP_labels	Targeted organisms FP_labels	Targeted organisms FN_labels	Technical target TP	Technical target FP	Technical target FN	Technical target TN	Technical target TP_labels	Technical target FP_labels	Technical target FN_labels	Methods TP	Methods FP	Methods FN	Methods TN	Methods TP_labels	Methods FP_labels	Methods FN_labels	Topics TP	Topics FP	Topics FN	Topics TN	Topics TP_labels	Topics FP_labels	Topics FN_labels
0	2025	Clinical assessment and transcriptome analysis of host immune responses in a vaccination-challenge study using a glycoprotein G deletion mutant vaccine strain of infectious laryngotracheitis virus	2	0	0	4	pathogen, virus			1	0	2	10	functional analysis		comparative analysis, gene identification / biomarker	1	0	0	7	(meta)transcriptomics			1	1	0	0	health&disease	ecosystem dynamics & biodiversity	
1	2024	Gene expression reprogramming of Pseudomonas alloputida in response to arginine through the transcriptional regulator ArgR	1	0	0	5	bacteria			1	0	2	10	functional analysis		comparative analysis, gene identification / biomarker	1	0	0	7	(meta)transcriptomics			1	0	0	1	ecosystem dynamics & biodiversity		
2	2023	Systematic SARS-CoV-2 S Gene Sequencing in Wastewater Samples Enables Early Lineage Detection and Uncovers Rare Mutations in Portugal	2	0	0	4	pathogen, virus			1	1	2	8	variant	community (taxonomy) profiling	comparative analysis, snp	1	0	0	7	(meta)genomics			2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
3	2023	Comparative Microbiome Analysis of Three Epidemiologically Important Tick Species in Latvia	2	0	0	4	bacteria, microbiome			2	0	0	10	community (taxonomy) profiling, comparative analysis			1	0	0	7	metabarcoding			2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
4	2025	Genomic Differences Between Two Fusarium oxysporum Formae Speciales Causing Root Rot in Cucumber	1	0	1	4	pathogen		eukaryote	0	0	4	9			annotation, comparative analysis, gene identification / biomarker, variant	1	0	0	7	(meta)genomics			2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
5	2022	Life is in the air: An expedition into the Amazonian atmosphere	0	1	3	2		pathogen	bacteria, eukaryote, microbiome	1	0	1	10	community (taxonomy) profiling		comparative analysis	0	0	1	7			metabarcoding	1	1	0	0	ecosystem dynamics & biodiversity	health&disease	
6	2017	The utility and perspectives of NGS-based methods in BSL-3 and BSL-4 laboratory – sequencing and analysis strategies	2	0	1	3	pathogen, virus		bacteria	0	0	4	8			annotation, comparative analysis, snp, variant	2	0	0	6	(meta)genomics, metagenomics			1	0	0	1	health&disease		
7	2013	The role of brachyury in the pathogenesis of chordoma	0	1	1	4		pathogen	eukaryote	0	0	3	10			comparative analysis, functional analysis, gene identification / biomarker	0	0	1	7			(meta)transcriptomics	1	0	0	1	health&disease		
8	2012	VAR‐MD: A tool to analyze whole exome–genome variants in small human pedigrees with mendelian inheritance	0	1	1	4		pathogen	eukaryote	1	0	3	8	variant		annotation, comparative analysis, snp	1	0	0	7	(meta)genomics			1	0	0	1	health&disease		
9	2016	Utility of next‐generation RNA‐sequencing in identifying chimeric transcription involving human endogenous retroviruses	0	1	1	4		virus	eukaryote	0	0	3	10			comparative analysis, functional analysis, gene identification / biomarker	0	0	1	7			(meta)transcriptomics	0	0	1	1			health&disease
10	2023	Population genomics-guided engineering of phenazine biosynthesis in Pseudomonas chlororaphis	0	0	1	5			bacteria	0	1	4	8		isolate	annotation, comparative analysis, gene identification / biomarker, variant	1	0	0	7	(meta)genomics			1	0	0	1	ecosystem dynamics & biodiversity		
11	2023	Soil Microbial Community Responses to Different Management Strategies in Almond Crop	2	1	1	2	bacteria, microbiome	pathogen	eukaryote	3	0	0	9	community (taxonomy) profiling, comparative analysis, functional analysis			1	0	0	7	metabarcoding			1	1	0	0	ecosystem dynamics & biodiversity	health&disease	
12	2023	Hfq protein and GcvB small RNA tailoring of oppA target mRNA to levels allowing translation activation by MicF small RNA in Escherichia coli	1	0	0	5	bacteria			1	1	2	9	functional analysis	mags	comparative analysis, gene identification / biomarker	0	0	1	7			(meta)transcriptomics	1	0	0	1	ecosystem dynamics & biodiversity		
13	2022	MLO Proteins from Tomato (Solanum lycopersicum L.) and Related Species in the Broad Phylogenetic Context	0	1	1	4		pathogen	eukaryote	0	2	3	8		amr, interactome	annotation, comparative analysis, gene identification / biomarker	0	0	1	7			(meta)genomics	2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
14	2022	Infection with Listeria monocytogenes alters the placental transcriptome and eicosanome	2	0	0	4	bacteria, pathogen			1	0	2	10	gene identification / biomarker		comparative analysis, functional analysis	2	1	1	4	(meta)transcriptomics, imaging	(meta)proteomics	metabolomics	1	0	0	1	health&disease		
15	2018	A cohabiting bacterium alters the spectrum of short RNAs secreted by Escherichia coli	1	2	0	3	bacteria	eukaryote, microbiome		0	0	3	10			comparative analysis, functional analysis, gene identification / biomarker	1	0	0	7	(meta)transcriptomics			0	0	1	1			ecosystem dynamics & biodiversity
16	2018	Generation of Mycoplasma hominis gene-targeted mutants by targeting-induced local lesions in genomes (TILLING)	2	0	0	4	bacteria, pathogen			0	1	4	8		functional analysis	comparative analysis, gene identification / biomarker, snp, variant	1	1	0	6	(meta)genomics	metabarcoding		2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
17	2017	The Inuit gut microbiome is dynamic over time and shaped by traditional foods	1	0	1	4	microbiome		bacteria	1	0	1	10	community (taxonomy) profiling		comparative analysis	1	0	0	7	metabarcoding			1	0	0	1	ecosystem dynamics & biodiversity		
18	2022	MuDoGeR: Multi-Domain Genome Recovery from metagenomes made easy	3	0	2	1	bacteria, eukaryote, virus		archaea, microbiome	0	2	4	7		community (taxonomy) profiling, isolate	annotation, comparative analysis, gene identification / biomarker, mags	2	0	0	6	(meta)genomics, metagenomics			0	0	1	1			ecosystem dynamics & biodiversity
19	2023	Reovirus genomic diversity confers plasticity for protease utility during adaptation to intracellular uncoating	1	0	0	5	virus			1	2	2	7	variant	community (taxonomy) profiling, isolate	comparative analysis, snp	1	0	0	7	(meta)genomics			1	1	0	0	health&disease	ecosystem dynamics & biodiversity	
20	2023	New Bacteriophages Members of the Ackermannviridae Family Specific for Klebsiella pneumoniae ST258	2	0	0	4	bacteria, virus			1	1	2	8	isolate	amr	annotation, comparative analysis	1	0	0	7	(meta)genomics			1	1	0	0	health&disease	ecosystem dynamics & biodiversity	
21	2023	Paslahepevirus balayani (Hepatitis E Virus) in Italian Nonungulate Wildlife: Molecular Detection and Characterization of an Isolate from a Crested Porcupine (Hystrix cristata)	1	0	0	5	virus			1	0	2	9	isolate		comparative analysis, variant	1	0	0	7	(meta)genomics			1	0	1	0	health&disease		ecosystem dynamics & biodiversity
22	2023	A mixed amplicon metabarcoding and sequencing approach for surveillance of drug resistance to levamisole and benzimidazole in Haemonchus spp	0	0	1	5			eukaryote	1	2	3	6	snp	amr, isolate	community (taxonomy) profiling, comparative analysis, variant	2	0	0	6	(meta)genomics, metabarcoding			1	0	0	1	health&disease		
23	2022	Iron-Induced Respiration Promotes Antibiotic Resistance in Actinomycete Bacteria	1	0	0	5	bacteria			1	0	3	9	amr		comparative analysis, functional analysis, gene identification / biomarker	1	0	0	7	(meta)transcriptomics			1	0	0	1	health&disease		
24	2021	Whole Genome Sequencing and Phylogenetic Analysis of Rabies Viruses from Bats in Connecticut, USA, 2018–2019	1	0	0	5	virus			1	0	2	9	variant		comparative analysis, snp	1	0	0	7	(meta)genomics			2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
25	2025	Detection of invasive Aedes vittatus mosquitoes in Jamaica: molecular identification and surveillance implications	0	1	1	4		virus	eukaryote	0	1	2	10		community (taxonomy) profiling	comparative analysis, gene identification / biomarker	1	0	0	7	(meta)genomics			2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
26	2025	Infection-Mediated Shifts in the Microbial Communities of Deer-Fed Ixodes scapularis Ticks	3	1	0	2	bacteria, microbiome, pathogen	virus		1	0	1	10	community (taxonomy) profiling		comparative analysis	1	0	0	7	metabarcoding			2	0	0	0	ecosystem dynamics & biodiversity, health&disease		
27	2025	Distinct microbiome variation in children and adults following RSV infection and its association with host response.	1	0	3	2	microbiome		bacteria, pathogen, virus	0	0	3	9			community (taxonomy) profiling, comparative analysis, functional analysis	0	0	1	7			metabarcoding	1	0	0	1	health&disease		
28	2025	Differential Expression of Epstein–Barr Virus Sequences in Various Breast Cancer Subtypes	2	0	0	4	pathogen, virus			1	0	2	10	functional analysis		comparative analysis, gene identification / biomarker	0	0	1	7			(meta)transcriptomics	1	0	0	1	health&disease		
29	2025	Comprehensive identification of hub mRNAs and lncRNAs in colorectal cancer using galaxy: an in silico transcriptome analysis	0	1	1	4		pathogen	eukaryote	1	0	3	9	interactome		comparative analysis, functional analysis, gene identification / biomarker	1	0	0	7	(meta)transcriptomics			1	0	0	1	health&disease		
